claim_id,report_section,claim,evidence_ids,primary_level,status,notes
CL-UI-01,3.1,"Frontend vượt qua typecheck và build; trang chủ local sau sửa không còn axe violation tự động","MC-UI-01;MC-QA-02;MC-A11Y-01",E1,mot_phan,"Build và axe local đủ; production hiện còn contrast artifact cũ, thiếu video luồng chức năng."
CL-UX-01,3.2,"Luồng nhập đề, xử lý, xác nhận, chỉnh scene, lịch sử, mô phỏng và xuất kết quả hoạt động trên giao diện",,E1,thieu,"Cần quay luồng bằng tài khoản test theo NGUOI_DUNG_CAN_LAM.md."
CL-LOGIC-01,3.3,"Quy tắc xác thực, định tuyến AI và xử lý toán học vượt qua các bộ test chuyên biệt","MC-LOGIC-01;MC-LOGIC-02;MC-LOGIC-03",E4,du_trong_pham_vi,"Kết luận giới hạn trong các ca test đã chạy."
CL-API-01,3.4,"API production có health/readiness nhưng OpenAPI workspace chưa khớp đầy đủ runtime","MC-API-01;MC-API-03;MC-API-04",E2,khong_dat,"Schemathesis phát hiện 31 failure: schema response, input được chấp nhận và status chưa khai báo."
CL-DB-01,3.5,"Production dùng PostgreSQL managed online, readiness đạt, backup định kỳ; migration local idempotent","MC-DB-01;MC-DB-02",E2,du_trong_pham_vi,"Chưa restore thử backup và chưa truy vấn bảng migration production."
CL-SEC-01,3.6,"Security test và dependency audit đạt nhưng SAST/TLS profile còn phát hiện chưa đóng","MC-SEC-03;MC-SEC-04;MC-SEC-05;MC-SEC-06;MC-LOGIC-01",E4,khong_dat,"Bandit còn 37 medium; Semgrep eval cần review; TLS không đạt Mozilla intermediate do secp521r1; thiếu runtime user/admin."
CL-PERF-01,3.7,"Capacity gate local giữ đúng limit dưới tranh chấp; Lighthouse production có số đo lab","MC-PERF-01;MC-A11Y-01;MC-UI-01",E4,mot_phan,"Atomicity đạt sau sửa; chưa benchmark throughput/SLA production; Lighthouse performance 0.72 trong một mẫu."
CL-MON-01,3.8,"Quy tắc analytics và cảnh báo vượt qua kiểm thử",MC-MON-04,E4,mot_phan,"Thiếu dashboard, metric và error fingerprint production."
CL-OPS-01,3.9,"Commit product có CI bắt buộc, active deployment và runtime cùng artifact; database backup đạt","MC-OPS-01;MC-OPS-03;MC-DEP-01;MC-DB-01",E1,mot_phan,"Chuỗi deploy đạt; worker RUNNING chưa tìm thấy trong runtime log nên MC-OPS-03 inconclusive."
CL-QA-01,3.10,"Backend 1660 test có JUnit/coverage; frontend build, simulation và analyzer checks đạt","MC-QA-01;MC-QA-02;MC-QA-03;MC-A11Y-01",E4,du_trong_pham_vi,"Workspace dirty và được snapshot; coverage không đồng nghĩa mọi requirement đã test."
